id,rating,createdAt,updatedAt,userId,menuitemId
1,5,2019-03-15 09:37:10,2018-07-04 17:31:24,167,20
2,2,2018-07-12 04:37:14,2018-06-25 07:51:16,110,9
3,5,2019-03-10 06:27:20,2018-08-30 10:29:53,131,19
4,2,2018-06-30 12:12:24,2018-10-25 14:39:24,197,3
5,1,2019-01-08 05:42:15,2018-09-01 11:29:08,15,11
6,3,2019-02-24 01:22:27,2018-09-02 00:35:25,120,19
7,5,2019-03-20 19:37:02,2018-05-17 15:44:40,115,17
8,3,2018-05-09 08:11:21,2019-04-10 22:23:54,140,2
9,3,2018-12-06 04:29:58,2018-07-03 12:54:27,80,14
10,4,2019-03-29 02:16:52,2018-07-04 16:14:34,67,1
11,2,2019-03-18 16:28:58,2018-08-22 18:57:28,179,21
12,1,2018-08-10 21:21:06,2019-01-08 05:25:14,63,15
13,3,2018-08-27 06:40:43,2019-01-20 21:47:03,175,9
14,1,2019-02-14 09:51:44,2018-09-04 15:48:37,13,18
15,4,2018-06-15 06:35:12,2018-11-25 04:24:10,180,18
16,5,2019-01-21 20:43:51,2018-10-31 19:50:53,41,20
17,1,2019-03-28 09:25:20,2019-02-06 22:39:59,15,6
18,1,2018-07-04 15:20:36,2019-01-07 07:57:08,29,7
19,2,2018-05-13 18:50:15,2018-07-08 11:08:08,58,3
20,3,2018-05-17 13:47:03,2018-12-05 21:04:33,50,10
21,1,2019-03-30 13:36:27,2018-08-12 20:51:14,183,18
22,4,2019-04-14 14:31:05,2019-01-03 09:11:18,131,21
23,1,2018-11-28 00:13:32,2018-10-09 15:07:47,179,13
24,2,2019-02-08 18:19:09,2018-09-02 02:14:21,48,11
25,3,2018-12-15 09:29:07,2018-08-27 14:39:04,33,2
26,5,2018-05-30 03:49:09,2018-06-11 09:51:55,191,21
27,4,2018-07-18 19:27:56,2019-03-27 18:52:21,196,16
28,4,2018-06-01 05:46:19,2019-04-04 17:35:39,27,15
29,4,2019-04-21 04:34:14,2019-02-12 13:41:57,63,8
30,3,2019-04-02 06:27:25,2019-04-12 14:56:06,95,11
31,4,2018-11-26 14:41:53,2018-10-28 11:21:47,82,2
32,3,2019-01-26 20:33:26,2018-08-08 20:03:02,3,3
33,1,2018-07-12 01:46:46,2018-10-15 05:41:00,62,10
34,3,2018-11-18 01:51:05,2018-11-20 23:19:29,64,8
35,3,2019-03-03 05:45:02,2019-02-05 16:54:57,84,9
36,4,2018-12-20 16:17:50,2019-01-18 13:48:58,47,24
37,4,2018-11-02 14:57:18,2019-03-23 04:16:15,82,20
38,2,2019-04-15 21:56:11,2019-02-10 07:34:05,70,7
39,1,2018-05-30 13:12:13,2019-05-01 15:46:24,63,1
40,4,2018-08-16 13:20:23,2018-05-08 06:01:41,118,8
41,5,2018-07-07 08:29:49,2018-12-14 00:18:16,132,17
42,1,2018-07-10 22:41:35,2018-05-13 06:41:25,146,16
43,2,2018-12-18 16:26:24,2018-10-01 07:27:56,74,23
44,5,2018-06-27 03:47:09,2018-07-18 11:17:48,138,18
45,3,2018-09-04 17:04:45,2018-06-14 06:43:09,6,3
46,4,2019-03-29 18:20:56,2018-11-16 15:47:05,84,19
47,3,2019-02-04 16:17:08,2018-06-17 12:56:50,171,12
48,2,2018-07-09 02:20:44,2018-05-11 06:10:14,194,5
49,2,2019-02-15 21:19:45,2018-06-26 01:28:53,158,15
50,5,2018-09-21 13:06:11,2018-11-23 21:20:38,61,19
51,4,2018-10-01 13:20:00,2019-03-05 23:39:41,35,10
52,3,2018-10-10 23:57:28,2019-05-05 11:23:13,94,10
53,5,2018-11-04 19:18:43,2018-06-29 20:45:00,71,15
54,2,2018-09-04 22:47:26,2018-09-24 20:32:43,42,22
55,5,2019-02-25 23:10:30,2018-09-08 20:31:58,45,3
56,1,2018-12-05 21:16:21,2018-07-30 23:20:12,199,11
57,2,2019-04-14 09:36:26,2018-12-24 13:17:55,50,3
58,5,2018-09-07 10:11:19,2018-09-10 08:00:01,2,19
59,2,2018-09-08 12:59:41,2018-11-07 10:43:17,175,18
60,4,2018-10-27 02:30:08,2018-10-19 06:36:25,24,1
61,3,2018-10-05 11:11:11,2019-01-02 12:03:15,115,16
62,5,2018-08-15 12:49:18,2018-07-02 07:48:54,8,1
63,1,2018-07-01 00:09:44,2018-07-19 05:32:57,170,5
64,4,2018-06-04 23:40:53,2019-03-01 06:26:24,66,6
65,4,2018-10-23 11:06:25,2018-06-15 04:36:19,116,10
66,5,2018-10-31 02:41:26,2019-01-18 13:32:10,95,8
67,4,2018-11-21 19:28:08,2018-10-02 00:17:42,167,21
68,5,2019-01-19 01:53:24,2018-12-16 14:17:40,87,20
69,5,2019-01-08 19:08:19,2019-03-29 17:06:14,57,2
70,2,2018-10-07 21:46:24,2019-01-13 17:21:16,184,10
71,2,2018-08-10 01:27:14,2018-05-22 09:55:00,131,9
72,4,2018-05-28 00:14:02,2018-06-19 09:24:06,150,16
73,3,2019-03-24 22:04:03,2019-03-22 01:23:09,43,16
74,2,2019-01-31 21:55:35,2018-10-21 10:11:06,125,1
75,3,2019-05-07 06:53:36,2018-05-31 07:34:18,107,21
76,4,2018-08-20 02:35:19,2019-01-09 17:39:52,180,6
77,4,2018-09-24 18:39:40,2018-05-20 01:32:44,83,11
78,5,2019-04-25 02:31:55,2018-10-04 20:21:00,154,20
79,5,2019-05-04 17:03:43,2018-10-05 16:58:27,152,16
80,5,2018-12-28 22:17:04,2018-09-29 08:58:51,197,11
81,5,2018-07-24 16:15:45,2018-08-01 21:58:15,25,12
82,5,2018-07-07 10:06:25,2018-08-30 09:53:55,74,10
83,1,2018-10-04 09:50:55,2018-06-30 03:25:41,96,13
84,2,2019-04-20 04:19:42,2018-05-19 06:01:38,171,21
85,1,2019-01-15 11:07:03,2018-07-30 11:46:59,68,8
86,4,2019-04-02 11:09:57,2018-08-25 15:05:30,41,16
87,3,2018-06-22 17:27:18,2018-08-15 04:01:19,190,9
88,3,2018-10-18 21:34:22,2019-05-07 18:45:31,67,5
89,3,2019-04-11 20:15:14,2018-09-28 21:36:14,45,10
90,4,2018-12-10 00:40:33,2019-03-24 22:35:19,91,6
91,3,2019-01-09 09:42:36,2019-03-31 16:06:48,190,1
92,1,2018-08-05 00:42:26,2018-09-22 02:06:32,18,18
93,4,2018-09-26 11:34:03,2019-02-13 10:51:28,57,12
94,1,2019-03-27 12:05:25,2018-06-28 17:48:20,130,3
95,3,2018-12-02 05:52:57,2019-02-27 23:09:50,175,21
96,2,2018-09-03 20:26:35,2018-08-30 22:53:08,124,13
97,4,2018-11-05 12:54:52,2019-04-02 00:59:15,126,15
98,4,2019-01-16 18:54:59,2018-11-12 12:38:40,32,22
99,5,2018-05-27 13:37:57,2019-02-09 17:19:37,188,20
100,4,2018-07-28 23:39:18,2019-02-19 16:06:57,134,7
101,4,2018-11-01 00:51:50,2018-06-06 09:08:35,40,6
102,3,2019-04-29 09:05:22,2019-01-08 05:01:13,58,1
103,4,2019-03-18 08:13:21,2018-11-20 00:13:32,115,8
104,2,2018-11-28 14:25:25,2019-02-07 23:40:25,179,6
105,1,2018-09-03 20:27:00,2019-01-02 19:52:18,161,11
106,3,2019-04-10 10:38:00,2019-02-11 21:48:29,127,22
107,1,2018-06-09 10:41:34,2018-06-14 18:51:39,172,13
108,3,2019-03-31 12:11:46,2018-07-12 12:52:34,177,16
109,1,2018-06-08 12:42:01,2018-05-11 00:42:52,165,4
110,5,2019-03-16 12:07:32,2019-02-19 19:20:25,68,9
111,3,2018-07-11 17:13:46,2018-10-15 14:49:34,150,5
112,1,2018-12-14 04:40:38,2018-05-20 09:56:41,188,11
113,5,2018-06-28 23:57:38,2018-07-19 15:27:49,5,21
114,4,2019-03-11 02:21:01,2019-02-03 00:05:49,10,23
115,3,2018-09-23 02:29:03,2018-10-21 22:57:21,198,7
116,3,2019-01-14 04:51:03,2018-07-09 17:58:54,53,17
117,3,2018-11-03 23:23:07,2018-08-24 11:30:15,57,17
